EUR	Euro	0.914733
GBP	Pound Sterling	0.787045
INR	Indian Rupee	83.057285
AUD	Australian Dollar	1.492546
CAD	Canadian Dollar	1.338813
SGD	Singapore Dollar	1.332431
CHF	Swiss Franc	0.852348
MYR	Malaysian Ringgit	4.647394
JPY	Japanese Yen	144.960519
CNY	Chinese Yuan Renminbi	7.159823
